character,unicode,short description,tags,LLM description
🧚🏻‍♀,U+1F9DA 1F3FB 200D 2640,WOMAN FAIRY LIGHT SKIN TONE,"['fairy' 'woman' 'light skin tone' 'magic' 'enchantment' 'whimsy'
 'otherworldly']","This emoji represents a woman fairy with a light skin tone, often used to convey magic, enchantment, and whimsy, symbolizing a delicate and otherworldly being."
🧚🏾‍♀️,U+1F9DA 1F3FE 200D 2640 FE0F,WOMAN FAIRY MEDIUM-DARK SKIN TONE,['fairy' 'woman' 'magic' 'enchantment' 'medium-dark skin tone' 'whimsical'],"This emoji represents a woman fairy with medium-dark skin tone, often used to convey magic, enchantment, or whimsical elements in messages and conversations."
🧚🏾‍♀,U+1F9DA 1F3FE 200D 2640,WOMAN FAIRY MEDIUM-DARK SKIN TONE,['fairy' 'woman' 'magic' 'enchantment' 'medium-dark skin tone' 'whimsical'],"This emoji represents a woman fairy with medium-dark skin tone, often used to convey magic, enchantment, or whimsical elements in messages and conversations."
🧚🏼‍♀️,U+1F9DA 1F3FC 200D 2640 FE0F,WOMAN FAIRY MEDIUM-LIGHT SKIN TONE,"['fairy' 'woman' 'magic' 'enchantment' 'whimsy' 'medium-light skin tone'
 'otherworldly']","This emoji represents a woman fairy with a medium-light skin tone, often used to convey magic, enchantment, and whimsy, symbolizing a delicate and otherworldly being."
🧚🏼‍♀,U+1F9DA 1F3FC 200D 2640,WOMAN FAIRY MEDIUM-LIGHT SKIN TONE,"['fairy' 'woman' 'magic' 'enchantment' 'whimsical'
 'medium-light skin tone']","This emoji represents a woman fairy with a medium-light skin tone, often used to convey magic, enchantment, and whimsicality, symbolizing a delicate and otherworldly being."
🧚🏽‍♀️,U+1F9DA 1F3FD 200D 2640 FE0F,WOMAN FAIRY MEDIUM SKIN TONE,"['fairy' 'woman' 'magic' 'enchantment' 'medium skin tone' 'grace' 'beauty'
 'otherworldly']","This emoji represents a woman fairy with a medium skin tone, often used to convey magic, enchantment, or whimsical themes, and can symbolize grace, beauty, and otherworldly qualities."
🧚🏽‍♀,U+1F9DA 1F3FD 200D 2640,WOMAN FAIRY MEDIUM SKIN TONE,"['fairy' 'woman' 'magic' 'enchantment' 'medium skin tone' 'grace' 'beauty'
 'otherworldly']","This emoji represents a woman fairy with a medium skin tone, often used to convey magic, enchantment, or whimsical themes, and can symbolize grace, beauty, and otherworldly qualities."
👩‍🌾,U+1F469 200D 1F33E,WOMAN FARMER,"['woman farmer' 'agriculture' 'farming' 'hard work' 'rural community'
 'food system' 'sustainability']","This emoji represents a woman farmer, symbolizing agriculture, hard work, and the importance of farming in sustaining our food systems and rural communities."
👩🏿‍🌾,U+1F469 1F3FF 200D 1F33E,WOMAN FARMER DARK SKIN TONE,"['woman farmer' 'dark skin tone' 'agriculture' 'farming' 'hard work'
 'community' 'sustainability']","This emoji represents a woman farmer with dark skin tone, showcasing a female agricultural worker contributing to farming and food production, often used to symbolize hard work, community, and sustainability."
👩🏻‍🌾,U+1F469 1F3FB 200D 1F33E,WOMAN FARMER LIGHT SKIN TONE,"['woman farmer' 'agriculture' 'light skin tone' 'hard work' 'farming'
 'food production']","This emoji represents a woman farmer with a light skin tone, symbolizing hard work, agriculture, and the importance of farmers in producing food for communities."
👩🏾‍🌾,U+1F469 1F3FE 200D 1F33E,WOMAN FARMER MEDIUM-DARK SKIN TONE,"['woman' 'farmer' 'medium-dark skin tone' 'agriculture' 'hardworking'
 'farming']","This emoji represents a woman farmer with a medium-dark skin tone, showcasing a strong and hardworking individual contributing to agriculture and farming communities."
👩🏼‍🌾,U+1F469 1F3FC 200D 1F33E,WOMAN FARMER MEDIUM-LIGHT SKIN TONE,"['woman' 'farmer' 'agriculture' 'medium-light skin tone' 'farming' 'labor'
 'food production']","This emoji represents a woman farmer with a medium-light skin tone, showcasing a female agricultural worker who cultivates the land and contributes to food production."
👩🏽‍🌾,U+1F469 1F3FD 200D 1F33E,WOMAN FARMER MEDIUM SKIN TONE,['woman' 'farmer' 'agriculture' 'medium skin tone' 'hardworking' 'farming'],"This emoji represents a woman farmer with a medium skin tone, showcasing a strong and hardworking individual contributing to agriculture and farming communities."
👩‍🍼,U+1F469 200D 1F37C,WOMAN FEEDING BABY,['woman' 'motherhood' 'nurturing' 'care' 'baby' 'feeding' 'family'],"This emoji represents a woman feeding a baby, often used to express nurturing, motherhood, or care for young children."
👩🏿‍🍼,U+1F469 1F3FF 200D 1F37C,WOMAN FEEDING BABY DARK SKIN TONE,['woman' 'dark skin tone' 'feeding' 'baby' 'nurturing' 'care' 'motherhood'],"This emoji represents a woman, specifically with a dark skin tone, feeding a baby, often used to express nurturing, care, and motherhood."
👩🏻‍🍼,U+1F469 1F3FB 200D 1F37C,WOMAN FEEDING BABY LIGHT SKIN TONE,['woman' 'mother' 'baby' 'care' 'nurturing' 'light skin tone'],"This emoji represents a woman, with a light skin tone, feeding a baby, symbolizing care, nurturing, and motherhood."
👩🏾‍🍼,U+1F469 1F3FE 200D 1F37C,WOMAN FEEDING BABY MEDIUM-DARK SKIN TONE,"['woman' 'motherhood' 'nurturing' 'care' 'feeding' 'baby'
 'medium-dark skin tone']","This emoji represents a woman, with medium-dark skin tone, feeding a baby, often used to express nurturing, care, and motherhood."
👩🏼‍🍼,U+1F469 1F3FC 200D 1F37C,WOMAN FEEDING BABY MEDIUM-LIGHT SKIN TONE,"['woman' 'motherhood' 'nurturing' 'care' 'feeding' 'baby'
 'medium-light skin tone']","This emoji represents a woman, with a medium-light skin tone, feeding a baby, symbolizing care, nurturing, and motherhood."
👩🏽‍🍼,U+1F469 1F3FD 200D 1F37C,WOMAN FEEDING BABY MEDIUM SKIN TONE,"['woman' 'motherhood' 'nurturing' 'care' 'feeding' 'baby'
 'medium skin tone']","This emoji represents a woman, with medium skin tone, feeding a baby, often used to express nurturing, care, and motherhood."
👩‍🚒,U+1F469 200D 1F692,WOMAN FIREFIGHTER,"['woman firefighter' 'profession' 'courage' 'teamwork'
 'emergency services' 'rescue' 'protection']","This emoji represents a woman firefighter, a professional who protects lives and property from fires, emergencies, and other dangers, often seen as a symbol of courage and teamwork."
👩🏿‍🚒,U+1F469 1F3FF 200D 1F692,WOMAN FIREFIGHTER DARK SKIN TONE,"['woman' 'firefighter' 'dark skin tone' 'courage' 'protection'
 'emergency services' 'hero']","This emoji represents a woman firefighter with dark skin tone, showcasing a strong and courageous profession dedicated to saving lives and protecting communities."
👩🏻‍🚒,U+1F469 1F3FB 200D 1F692,WOMAN FIREFIGHTER LIGHT SKIN TONE,"['woman' 'firefighter' 'light skin tone' 'bravery' 'teamwork' 'emergency'
 'rescue']","This emoji represents a woman firefighter with light skin tone, symbolizing bravery, teamwork, and emergency response in saving lives and protecting communities."
👩🏾‍🚒,U+1F469 1F3FE 200D 1F692,WOMAN FIREFIGHTER MEDIUM-DARK SKIN TONE,"['woman' 'firefighter' 'medium-dark skin tone' 'courage' 'protection'
 'emergency services']","This emoji represents a woman firefighter with a medium-dark skin tone, showcasing a strong and courageous profession dedicated to saving lives and protecting communities."
👩🏼‍🚒,U+1F469 1F3FC 200D 1F692,WOMAN FIREFIGHTER MEDIUM-LIGHT SKIN TONE,"['woman' 'firefighter' 'medium-light skin tone' 'profession' 'rescue'
 'protection' 'emergency']","This emoji represents a woman firefighter with medium-light skin tone, showcasing a female professional in protective gear, dedicated to saving lives and fighting fires."
👩🏽‍🚒,U+1F469 1F3FD 200D 1F692,WOMAN FIREFIGHTER MEDIUM SKIN TONE,"['woman' 'firefighter' 'medium skin tone' 'courage' 'teamwork' 'hero'
 'saving lives']","This emoji represents a woman firefighter with medium skin tone, showcasing a female hero in a profession known for courage, teamwork, and saving lives."
🙍‍♀️,U+1F64D 200D 2640 FE0F,WOMAN FROWNING,"['woman' 'frowning' 'disappointment' 'sadness' 'disapproval'
 'negative emotions' 'reaction']","This emoji represents a woman with a frown, expressing disappointment, sadness, or disapproval, often used to convey negative emotions or reactions."
🙍‍♀,U+1F64D 200D 2640,WOMAN FROWNING,['woman' 'frowning' 'disappointment' 'sadness' 'disapproval'],"This emoji represents a woman with a frown, often used to express disappointment, sadness, or disapproval."
🙍🏿‍♀️,U+1F64D 1F3FF 200D 2640 FE0F,WOMAN FROWNING DARK SKIN TONE,"['woman' 'frowning' 'dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning facial expression, featuring a dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏿‍♀,U+1F64D 1F3FF 200D 2640,WOMAN FROWNING DARK SKIN TONE,"['woman' 'frowning' 'dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning facial expression, featuring a dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏻‍♀️,U+1F64D 1F3FB 200D 2640 FE0F,WOMAN FROWNING LIGHT SKIN TONE,"['woman' 'frowning' 'light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning facial expression, specifically designed for light skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏻‍♀,U+1F64D 1F3FB 200D 2640,WOMAN FROWNING LIGHT SKIN TONE,"['woman' 'frowning' 'light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning facial expression, specifically designed for a light skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏾‍♀️,U+1F64D 1F3FE 200D 2640 FE0F,WOMAN FROWNING MEDIUM-DARK SKIN TONE,"['woman' 'frowning' 'medium-dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning expression, featuring a medium-dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏾‍♀,U+1F64D 1F3FE 200D 2640,WOMAN FROWNING MEDIUM-DARK SKIN TONE,"['woman' 'frowning' 'medium-dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning expression, featuring a medium-dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏼‍♀️,U+1F64D 1F3FC 200D 2640 FE0F,WOMAN FROWNING MEDIUM-LIGHT SKIN TONE,"['woman' 'frowning' 'medium-light skin tone' 'disappointment'
 'frustration' 'disapproval']","This emoji represents a woman with a frowning facial expression, featuring medium-light skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏼‍♀,U+1F64D 1F3FC 200D 2640,WOMAN FROWNING MEDIUM-LIGHT SKIN TONE,"['woman' 'frowning' 'medium-light skin tone' 'disappointment'
 'frustration' 'disapproval']","This emoji represents a medium-light skin tone woman with a frowning facial expression, often used to convey disappointment, frustration, or disapproval."
🙍🏽‍♀️,U+1F64D 1F3FD 200D 2640 FE0F,WOMAN FROWNING MEDIUM SKIN TONE,"['woman' 'frowning' 'medium skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a woman with a frowning facial expression, featuring medium skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏽‍♀,U+1F64D 1F3FD 200D 2640,WOMAN FROWNING MEDIUM SKIN TONE,"['woman' 'frowning' 'medium skin tone' 'disappointment' 'sadness'
 'disapproval']","This emoji represents a woman with a frowning facial expression, featuring medium skin tone, often used to convey disappointment, sadness, or disapproval."
🧞‍♀️,U+1F9DE 200D 2640 FE0F,WOMAN GENIE,['genie' 'woman' 'magic' 'fantasy' 'humor' 'wish' 'female'],"This emoji represents a woman genie, a magical being that grants wishes, often used in the context of fantasy, wishes, and humor."
🧞‍♀,U+1F9DE 200D 2640,WOMAN GENIE,['woman genie' 'magic' 'folklore' 'wishes' 'humor' 'playfulness'],"This emoji represents a woman genie, a magical being often depicted in folklore and popular culture as a powerful and wise entity granting wishes, often used in a humorous or playful context."
🙅‍♀️,U+1F645 200D 2640 FE0F,WOMAN GESTURING NO,['woman' 'gesture' 'False' 'disapproval' 'refusal' 'disagreement'],"This emoji represents a woman gesturing 'no' or 'not allowed' with her hand, often used to express disagreement, refusal, or disapproval in various contexts."
🙅‍♀,U+1F645 200D 2640,WOMAN GESTURING NO,['woman' 'gesture' 'False' 'disagreement' 'disapproval' 'refusal'],"This emoji represents a woman gesturing 'no' with a head shake, often used to express disagreement, disapproval, or refusal in various contexts."
🙅🏿‍♀️,U+1F645 1F3FF 200D 2640 FE0F,WOMAN GESTURING NO DARK SKIN TONE,"['woman' 'dark skin tone' 'disagreement' 'disapproval' 'ethnicity'
 'gesture' 'False']","This emoji shows a woman gesturing 'no' with a dark skin tone, representing a female character with a strong emphasis on her ethnicity and expressing disagreement or disapproval."
🙅🏿‍♀,U+1F645 1F3FF 200D 2640,WOMAN GESTURING NO DARK SKIN TONE,['woman' 'False' 'dark skin tone' 'ethnicity' 'disagreement' 'disapproval'],"This emoji shows a woman gesturing 'no' with a dark skin tone, representing a female character with a strong emphasis on her ethnicity and expressing disagreement or disapproval."
🙅🏻‍♀️,U+1F645 1F3FB 200D 2640 FE0F,WOMAN GESTURING NO LIGHT SKIN TONE,"['woman' 'gesture' 'False' 'light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji represents a woman gesturing 'no' with a light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏻‍♀,U+1F645 1F3FB 200D 2640,WOMAN GESTURING NO LIGHT SKIN TONE,"['woman' 'light skin tone' 'gesture' 'False' 'disagreement' 'refusal'
 'disapproval']","This emoji represents a woman gesturing 'no' with a light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏾‍♀️,U+1F645 1F3FE 200D 2640 FE0F,WOMAN GESTURING NO MEDIUM-DARK SKIN TONE,"['woman' 'medium-dark skin tone' 'gesture' 'False' 'disagreement'
 'disapproval' 'rejection']","This emoji shows a woman gesturing 'no' with a medium-dark skin tone, representing a female character expressing disagreement or disapproval, often used in conversations to convey negative responses or rejection."
🙅🏾‍♀,U+1F645 1F3FE 200D 2640,WOMAN GESTURING NO MEDIUM-DARK SKIN TONE,"['woman' 'medium-dark skin tone' 'gesture' 'disagreement' 'disapproval'
 'female' 'communication']","This emoji shows a woman gesturing 'no' with a medium-dark skin tone, representing a female character expressing disapproval or disagreement, often used in conversations to convey negative responses."
🙅🏼‍♀️,U+1F645 1F3FC 200D 2640 FE0F,WOMAN GESTURING NO MEDIUM-LIGHT SKIN TONE,"['woman' 'gesture' 'False' 'medium-light skin tone' 'disagreement'
 'refusal' 'disapproval']","This emoji shows a woman gesturing 'no' with a medium-light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏼‍♀,U+1F645 1F3FC 200D 2640,WOMAN GESTURING NO MEDIUM-LIGHT SKIN TONE,"['woman' 'gesture' 'False' 'medium-light skin tone' 'disagreement'
 'disapproval' 'refusal']","This emoji shows a woman gesturing 'no' with a medium-light skin tone, often used to express disagreement, disapproval, or refusal in various contexts."
🙅🏽‍♀️,U+1F645 1F3FD 200D 2640 FE0F,WOMAN GESTURING NO MEDIUM SKIN TONE,"['woman' 'medium skin tone' 'gesture' 'False' 'disagreement' 'disapproval'
 'refusal']","This emoji shows a woman gesturing 'no' with a medium skin tone, often used to express disagreement, disapproval, or refusal in various contexts."
🙅🏽‍♀,U+1F645 1F3FD 200D 2640,WOMAN GESTURING NO MEDIUM SKIN TONE,"['woman' 'medium skin tone' 'gesture' 'False' 'disagreement' 'disapproval'
 'refusal']","This emoji represents a woman gesturing 'no' with a medium skin tone, often used to express disagreement, disapproval, or refusal in various contexts."
🙆‍♀️,U+1F646 200D 2640 FE0F,WOMAN GESTURING OK,"['woman' 'gesture' 'agreement' 'understanding' 'acknowledgment'
 'positivity']","This emoji represents a woman gesturing 'OK' with her hand, often used to express agreement, understanding, or to acknowledge something positively."
🙆‍♀,U+1F646 200D 2640,WOMAN GESTURING OK,['woman' 'gesture' 'agreement' 'understanding' 'approval' 'OK'],"This emoji represents a woman gesturing 'OK' with her hand, often used to express agreement, understanding, or approval in various contexts."
🙆🏿‍♀️,U+1F646 1F3FF 200D 2640 FE0F,WOMAN GESTURING OK DARK SKIN TONE,['woman' 'gesture' 'OK' 'agreement' 'approval' 'dark skin tone'],"This emoji represents a woman gesturing 'OK' with a dark skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏿‍♀,U+1F646 1F3FF 200D 2640,WOMAN GESTURING OK DARK SKIN TONE,['woman' 'gesture' 'OK' 'agreement' 'approval' 'dark skin tone'],"This emoji represents a woman gesturing 'OK' with a dark skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏻‍♀️,U+1F646 1F3FB 200D 2640 FE0F,WOMAN GESTURING OK LIGHT SKIN TONE,['woman' 'gesture' 'OK' 'agreement' 'approval' 'light skin tone'],"This emoji represents a woman gesturing 'OK' with a light skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏻‍♀,U+1F646 1F3FB 200D 2640,WOMAN GESTURING OK LIGHT SKIN TONE,"['woman' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'light skin tone']","This emoji represents a woman gesturing 'OK' with a light skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏾‍♀️,U+1F646 1F3FE 200D 2640 FE0F,WOMAN GESTURING OK MEDIUM-DARK SKIN TONE,"['woman' 'gesture' 'agreement' 'approval' 'understanding'
 'medium-dark skin tone']","This emoji shows a woman gesturing 'OK' with her hand, using a medium-dark skin tone, often used to express agreement, understanding, or approval."
🙆🏾‍♀,U+1F646 1F3FE 200D 2640,WOMAN GESTURING OK MEDIUM-DARK SKIN TONE,"['woman' 'gesture' 'approval' 'agreement' 'understanding'
 'medium-dark skin tone']","This emoji represents a woman gesturing 'OK' with a medium-dark skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏼‍♀️,U+1F646 1F3FC 200D 2640 FE0F,WOMAN GESTURING OK MEDIUM-LIGHT SKIN TONE,['woman' 'gesture' 'OK' 'approval' 'agreement' 'medium-light skin tone'],"This emoji represents a woman gesturing 'OK' with a medium-light skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏼‍♀,U+1F646 1F3FC 200D 2640,WOMAN GESTURING OK MEDIUM-LIGHT SKIN TONE,['woman' 'gesture' 'OK' 'agreement' 'approval' 'medium-light skin tone'],"This emoji represents a woman gesturing 'OK' with a medium-light skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏽‍♀️,U+1F646 1F3FD 200D 2640 FE0F,WOMAN GESTURING OK MEDIUM SKIN TONE,"['woman' 'gesture' 'agreement' 'understanding' 'approval'
 'medium skin tone']","This emoji represents a woman gesturing 'OK' with her hand, often used to express agreement, understanding, or approval, with a medium skin tone."
🙆🏽‍♀,U+1F646 1F3FD 200D 2640,WOMAN GESTURING OK MEDIUM SKIN TONE,"['woman' 'gesture' 'agreement' 'understanding' 'approval'
 'medium skin tone']","This emoji represents a woman gesturing 'OK' with her hand, often used to express agreement, understanding, or approval, with a medium skin tone."
💇‍♀️,U+1F487 200D 2640 FE0F,WOMAN GETTING HAIRCUT,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'personal'],"This emoji represents a woman getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇‍♀,U+1F487 200D 2640,WOMAN GETTING HAIRCUT,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'personal'],"This emoji represents a woman getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇🏿‍♀️,U+1F487 1F3FF 200D 2640 FE0F,WOMAN GETTING HAIRCUT DARK SKIN TONE,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'dark skin tone'],"This emoji represents a woman with dark skin tone getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇🏿‍♀,U+1F487 1F3FF 200D 2640,WOMAN GETTING HAIRCUT DARK SKIN TONE,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'dark skin tone'],"This emoji represents a woman with dark skin tone getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇🏻‍♀️,U+1F487 1F3FB 200D 2640 FE0F,WOMAN GETTING HAIRCUT LIGHT SKIN TONE,['woman' 'haircut' 'self-care' 'grooming' 'appearance' 'light skin tone'],"This emoji represents a woman getting a haircut, with a light skin tone, symbolizing a personal grooming activity and self-care, often used to express a change in appearance or to share a personal experience."
💇🏻‍♀,U+1F487 1F3FB 200D 2640,WOMAN GETTING HAIRCUT LIGHT SKIN TONE,"['woman' 'haircut' 'grooming' 'personal care' 'light skin tone'
 'appearance']","This emoji represents a woman getting a haircut, specifically designed with a light skin tone, often used to convey the idea of grooming, personal care, or a change in appearance."
💇🏾‍♀️,U+1F487 1F3FE 200D 2640 FE0F,WOMAN GETTING HAIRCUT MEDIUM-DARK SKIN TONE,"['woman' 'haircut' 'grooming' 'self-care' 'appearance'
 'medium-dark skin tone']","This emoji represents a woman with medium-dark skin tone getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇🏾‍♀,U+1F487 1F3FE 200D 2640,WOMAN GETTING HAIRCUT MEDIUM-DARK SKIN TONE,"['woman' 'haircut' 'grooming' 'self-care' 'appearance'
 'medium-dark skin tone']","This emoji represents a woman with medium-dark skin tone getting a haircut, often used to express personal grooming, self-care, or a change in appearance."
💇🏼‍♀️,U+1F487 1F3FC 200D 2640 FE0F,WOMAN GETTING HAIRCUT MEDIUM-LIGHT SKIN TONE,"['woman' 'haircut' 'grooming' 'personal care' 'medium-light skin tone'
 'appearance']","This emoji represents a woman getting a haircut, specifically with a medium-light skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏼‍♀,U+1F487 1F3FC 200D 2640,WOMAN GETTING HAIRCUT MEDIUM-LIGHT SKIN TONE,"['woman' 'haircut' 'grooming' 'personal care' 'medium-light skin tone'
 'appearance']","This emoji represents a woman getting a haircut, specifically with a medium-light skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏽‍♀️,U+1F487 1F3FD 200D 2640 FE0F,WOMAN GETTING HAIRCUT MEDIUM SKIN TONE,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'medium skin tone'],"This emoji represents a woman getting a haircut, with a medium skin tone, often used to express personal grooming, self-care, or a change in appearance."
💇🏽‍♀,U+1F487 1F3FD 200D 2640,WOMAN GETTING HAIRCUT MEDIUM SKIN TONE,['woman' 'haircut' 'grooming' 'self-care' 'appearance' 'medium skin tone'],"This emoji represents a woman getting a haircut, with a medium skin tone, often used to express personal grooming, self-care, or a change in appearance."
💆‍♀️,U+1F486 200D 2640 FE0F,WOMAN GETTING MASSAGE,['massage' 'relaxation' 'self-care' 'woman' 'spa' 'rest' 'well-being'],"This emoji represents a woman receiving a massage, often used to express relaxation, self-care, or to convey a desire for a soothing experience."
💆‍♀,U+1F486 200D 2640,WOMAN GETTING MASSAGE,['woman' 'massage' 'relaxation' 'self-care' 'care' 'soothing' 'spa'],"This emoji represents a woman receiving a massage, often used to express relaxation, self-care, or to convey a desire for a soothing experience."
💆🏿‍♀️,U+1F486 1F3FF 200D 2640 FE0F,WOMAN GETTING MASSAGE DARK SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'dark skin tone' 'pampering'],"This emoji represents a woman with dark skin tone receiving a massage, often used to convey relaxation, self-care, or pampering."
💆🏿‍♀,U+1F486 1F3FF 200D 2640,WOMAN GETTING MASSAGE DARK SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'dark skin tone' 'pampering'],"This emoji represents a woman with dark skin tone receiving a massage, often used to convey relaxation, self-care, or pampering."
💆🏻‍♀️,U+1F486 1F3FB 200D 2640 FE0F,WOMAN GETTING MASSAGE LIGHT SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'light skin tone' 'pampering'],"This emoji represents a woman receiving a massage, with a light skin tone, often used to convey relaxation, self-care, and pampering."
💆🏻‍♀,U+1F486 1F3FB 200D 2640,WOMAN GETTING MASSAGE LIGHT SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'light skin tone' 'pampering'],"This emoji represents a woman receiving a massage, with a light skin tone, often used to convey relaxation, self-care, and pampering."
💆🏾‍♀️,U+1F486 1F3FE 200D 2640 FE0F,WOMAN GETTING MASSAGE MEDIUM-DARK SKIN TONE,"['woman' 'massage' 'relaxation' 'self-care' 'medium-dark skin tone'
 'pampering']","This emoji represents a woman with medium-dark skin tone receiving a massage, often used to convey relaxation, self-care, or pampering."
💆🏾‍♀,U+1F486 1F3FE 200D 2640,WOMAN GETTING MASSAGE MEDIUM-DARK SKIN TONE,"['woman' 'massage' 'relaxation' 'self-care' 'medium-dark skin tone'
 'pampering']","This emoji represents a woman with medium-dark skin tone receiving a massage, often used to convey relaxation, self-care, or pampering."
💆🏼‍♀️,U+1F486 1F3FC 200D 2640 FE0F,WOMAN GETTING MASSAGE MEDIUM-LIGHT SKIN TONE,"['woman' 'massage' 'relaxation' 'self-care' 'medium-light skin tone'
 'pampering']","This emoji represents a woman with a medium-light skin tone receiving a massage, often used to convey relaxation, self-care, or pampering."
💆🏼‍♀,U+1F486 1F3FC 200D 2640,WOMAN GETTING MASSAGE MEDIUM-LIGHT SKIN TONE,"['woman' 'massage' 'relaxation' 'self-care' 'medium-light skin tone'
 'pampering']","This emoji represents a woman receiving a massage, with a medium-light skin tone, often used to convey relaxation, self-care, and pampering."
💆🏽‍♀️,U+1F486 1F3FD 200D 2640 FE0F,WOMAN GETTING MASSAGE MEDIUM SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'medium skin tone' 'pampering'],"This emoji represents a woman receiving a massage, with a medium skin tone, often used to convey relaxation, self-care, and pampering."
💆🏽‍♀,U+1F486 1F3FD 200D 2640,WOMAN GETTING MASSAGE MEDIUM SKIN TONE,['woman' 'massage' 'relaxation' 'self-care' 'medium skin tone' 'pampering'],"This emoji represents a woman receiving a massage, with a medium skin tone, often used to convey relaxation, self-care, and pampering."
🏌️‍♀️,U+1F3CC FE0F 200D 2640 FE0F,WOMAN GOLFING,['woman' 'golf' 'sport' 'recreation' 'outdoor' 'activity' 'female'],"This emoji represents a woman golfing, showing her playing the sport of golf, which involves hitting a small ball with a club into a series of holes on a course."
🏌‍♀️,U+1F3CC 200D 2640 FE0F,WOMAN GOLFING,['woman' 'golf' 'sport' 'recreation' 'outdoor' 'activity' 'female'],"This emoji represents a woman golfing, showing her playing the sport of golf, which involves hitting a small ball with a club into a series of holes on a course."
🏌️‍♀,U+1F3CC FE0F 200D 2640,WOMAN GOLFING,['woman' 'golf' 'sport' 'recreation' 'outdoor' 'activity' 'female'],"This emoji represents a woman golfing, showing her playing the sport of golf, which involves hitting a small ball with a club into a series of holes on a course."
🏌‍♀,U+1F3CC 200D 2640,WOMAN GOLFING,['woman' 'golf' 'sport' 'recreation' 'outdoor' 'activity'],"This emoji represents a woman golfing, showing her playing the sport of golf, which involves hitting a small ball with a club into a series of holes on a course."
🏌🏿‍♀️,U+1F3CC 1F3FF 200D 2640 FE0F,WOMAN GOLFING DARK SKIN TONE,['woman' 'golf' 'sports' 'leisure' 'dark skin tone' 'recreation'],"This emoji represents a woman with dark skin tone playing golf, often used to convey sports, leisure activities, or to express interest in golfing."
🏌🏿‍♀,U+1F3CC 1F3FF 200D 2640,WOMAN GOLFING DARK SKIN TONE,['woman' 'golfing' 'dark skin tone' 'sport' 'recreation' 'leisure' 'golf'],"This emoji represents a woman golfing with a dark skin tone, showcasing a female golfer engaged in the sport, often used to express interest in or enjoyment of golfing."
🏌🏻‍♀️,U+1F3CC 1F3FB 200D 2640 FE0F,WOMAN GOLFING LIGHT SKIN TONE,['woman' 'golfing' 'light skin tone' 'sports' 'leisure' 'hobbies'],"This emoji represents a woman golfing with a light skin tone, indicating a female golfer with a fair complexion, often used in the context of sports, leisure, or hobbies."
